league,season,team,spi,win_forecast
UEFA Europa League,2017,Liverpool,78.47258,0.00745
UEFA Europa League,2017,Sevilla FC,76.39451,0.0065
UEFA Europa League,2017,Anderlecht,62.5276,0.00555
UEFA Europa League,2017,Slavia Prague,58.74357,0.0055
UEFA Europa League,2017,Viktoria Plzen,59.18864,0.00535
UEFA Europa League,2017,Olympiacos,62.2974,0.00495
UEFA Europa League,2017,Celtic,62.41525,0.0044
UEFA Europa League,2017,Besiktas,63.54773,0.00355
UEFA Europa League,2017,Feyenoord,62.21503,0.00305
UEFA Europa League,2017,Spartak Moscow,61.56611,0.00295
UEFA Europa League,2017,Red Star Belgrade,58.45088,0.00225
UEFA Europa League,2017,Young Boys,54.61222,0.002
UEFA Europa League,2017,FC Copenhagen,53.96614,0.00195
UEFA Europa League,2017,Basel,60.78155,0.00195
UEFA Europa League,2017,Istanbul Basaksehir,53.24843,0.0016
UEFA Europa League,2017,Steaua Bucuresti,52.06962,0.00135
UEFA Europa League,2017,Braga,51.80331,0.00125
UEFA Europa League,2017,Rijeka,50.58254,0.00115
UEFA Europa League,2017,FK Austria Vienna,52.93234,0.0011
UEFA Europa League,2017,FK Partizan Belgrade,53.58817,0.0011
UEFA Europa League,2017,AEK Athens,50.15771,0.00075
UEFA Europa League,2017,Hapoel Be'er,50.15783,0.00075
UEFA Europa League,2017,Maccabi Tel-Aviv,49.74607,0.00075
UEFA Europa League,2017,Apoel Nicosia,53.82887,0.0007
UEFA Europa League,2017,Ludogorets,48.91571,0.0006
UEFA Europa League,2017,Rosenborg,52.26007,0.00055
UEFA Europa League,2017,Zlín,45.23814,0.00055
UEFA Europa League,2017,FC Astana,45.69366,0.0005
UEFA Europa League,2017,FC Zorya Luhansk,45.12576,0.00045
UEFA Europa League,2017,Konyaspor,45.93599,0.0002
UEFA Europa League,2017,Guimaraes,43.43742,0.0002
UEFA Europa League,2017,FC Lugano,43.83151,0.00015
UEFA Europa League,2017,Vitesse,46.05452,0.0001
UEFA Europa League,2017,BATE Borisov,44.29211,0.00005
UEFA Europa League,2017,SV Zulte Waregem,43.0931,0.00005
UEFA Europa League,2017,NK Maribor,43.48716,0.00001
UEFA Europa League,2017,FC Sheriff Tiraspol,34.30259,0.00001
UEFA Europa League,2017,Östersunds FK,37.92003,0.00001
UEFA Europa League,2017,Vardar,37.5481,0.00001
UEFA Europa League,2017,FK Qarabag,39.65653,0.00001
UEFA Europa League,2017,Skenderbeu Korce,31.97964,0.00001
UEFA Europa League,2017,Apollon Limassol,35.67242,0.00001
